Agent_0,Bidding_Factor_0,Participated_0,Agent_1,Bidding_Factor_1,Participated_1,Agent_2,Bidding_Factor_2,Participated_2,Agent_3,Bidding_Factor_3,Participated_3,seller_id,starting_price,market_price
121.78965799082128,1.8270392426299586,1,101.99702173794662,1.5301181103624901,1,106.4270723576445,1.596575939890472,1,91.51189352191606,1.40055828049759,1,3,65.99297847448217,105.43141140208213
79.27763099012898,1.1387114820030393,1,,1.6548120861240365,0,124.11052119423663,1.7826727887322416,1,127.7600995361668,1.8350938400492636,1,4,68.92426740281013,110.3827505735108
,1.6762482924675783,0,,1.0057111510602628,0,89.32480660437463,1.0011807318938453,1,149.45355077286268,1.675122746244833,1,2,88.3272677162421,119.38917868861866
,1.806435083075221,0,,1.6482369971068827,0,,1.5600881664313877,0,163.2605569836838,1.7988490933820438,1,0,89.85075624657752,163.2605569836838
31.894540348826954,1.808768850203659,1,26.71120174691921,1.5148169292588651,1,27.871353032079632,1.5806101804915673,1,24.449481733032158,1.414563863302566,1,3,17.45695418283183,27.73164421521449
157.89516076218635,1.6594858095429026,1,,1.0057111510602628,0,94.306788155872,1.0,1,157.7891392959249,1.6583715187823846,1,2,94.19556844395134,136.66369607132776
26.74957883893908,1.7883707322444686,1,,1.6482369971068827,0,,1.5600881664313877,0,26.637245973357455,1.7808606024482234,1,0,14.807938070711845,26.69341240614827
50.198590529159944,1.5590626218103534,1,,1.1477830722252387,0,,1.4307228797234335,0,,1.2427214199502985,0,1,31.87595156771933,50.198590529159944
126.75374883305494,1.5434719955922498,1,93.31620501730377,1.1592609029474912,1,116.31956664806039,1.4164156509261991,1,101.03481189929934,1.2302942057507955,1,1,81.30125567751149,109.35608309942961
72.5118411230112,1.1273243671830089,1,105.376535649216,1.6382639652627962,1,113.51855854082147,1.764846060844919,1,,1.8350938400492636,0,4,63.67885304489944,97.13564510434956
,1.808768850203659,0,29.645349328688592,1.4996687599662764,1,30.932939847773895,1.5648040786866517,1,,1.414563863302566,0,3,19.570252190931605,30.289144588231245
,1.7883707322444686,0,,1.6482369971068827,0,77.26538899695271,1.5444872847670739,1,,1.7808606024482234,0,0,49.526296435984676,77.26538899695271
12.150157147469152,1.5280372756363272,1,9.125660968227889,1.170853511976966,1,11.149974080536888,1.402251494416937,1,9.68483262422722,1.2179912636932875,1,1,7.8719647535989035,10.527656205115287
39.315574292555965,1.6428909514474737,1,23.826724669162957,1.0,1,23.691419394170808,1.01,1,,1.6583715187823846,0,2,23.691419394170808,28.944572785296575
168.82510107252412,1.770487024922024,1,,1.6482369971068827,0,145.80210761377273,1.529042411919403,1,,1.7808606024482234,0,0,94.40162379566715,157.31360434314843
18.19119211856567,1.1160511235111787,1,,1.6382639652627962,0,,1.764846060844919,0,,1.8350938400492636,0,4,16.136608635562766,18.19119211856567
